entry_id,idprod,date,min_price,avg_price
2747,17,2019-04-04,2699.9,2897.08375
2748,17,2019-04-06,2699.9,2895.83375
2749,17,2019-04-10,2699.9,2897.08375
2750,17,2019-04-11,2699.9,2897.83375
2751,17,2019-04-12,2699.9,2897.70875
2752,17,2019-04-13,2649.99,2883.8325
2753,17,2019-04-15,2649.99,2884.5824999999995
2754,17,2019-04-16,2599,2826.0825
2755,17,2019-04-17,2562.8,2807.5824999999995
2756,17,2019-04-18,2563.8,2807.7074999999995
2757,17,2019-04-19,2563.8,2796.3325
2758,17,2019-04-20,2562.8,2783.5824999999995
2759,17,2019-04-23,2561.8,2793.2075
2760,17,2019-04-25,2560.8,2785.7074999999995
2761,17,2019-04-26,2561.8,2775.9574999999995
2762,17,2019-04-28,2214.9,2727.8325
2763,17,2019-04-30,2479,2779.58375
2764,17,2019-05-03,2479,2751.58375
2765,17,2019-05-04,2560.8,2760.2075
2766,17,2019-05-07,2559.8,2797.3324999999995
2767,17,2019-05-08,2561.8,2798.0824999999995
2768,17,2019-05-09,2460.8,2769.4574999999995
2769,17,2019-05-10,2462.8,2750.83375
2770,17,2019-05-11,2461.8,2750.45875
2771,17,2019-05-13,2461.8,2750.45875
2772,17,2019-05-14,2299.9,2644.7075
2773,17,2019-05-15,2289.99,2643.7075
2774,17,2019-05-16,2289.99,2642.5849999999996
2775,17,2019-05-18,2289.99,2642.71
2776,17,2019-05-21,2289.99,2642.335
2777,17,2019-05-23,2289.99,2643.8325
2778,17,2019-05-24,2299.9,2653.8325
2779,17,2019-05-25,2299.9,2645.4575
2780,17,2019-05-27,2299.9,2645.3325
2781,17,2019-05-28,2249.9,2639.0825
2782,17,2019-05-29,2299.9,2645.3325
2783,17,2019-05-31,2299.9,2619.9575
2784,17,2019-06-01,2299.9,2617.8325
2785,17,2019-06-03,2299.9,2617.5825
2786,17,2019-06-04,2299.9,2617.0825
2787,17,2019-06-05,2299.9,2615.8325
2788,17,2019-06-06,2299.9,2606.3325
2789,17,2019-06-07,2299.9,2605.5825
2790,17,2019-06-08,2289.99,2603.7075
2791,17,2019-06-09,2289.99,2569.284444444444
2792,17,2019-06-11,2289.99,2702.617777777778
2793,17,2019-06-12,2289.99,2703.506666666666
2794,17,2019-06-13,2289.99,2703.284444444444
2795,17,2019-06-14,2149.9,2619.9511111111115
2796,17,2019-06-15,2149.9,2536.617777777778
2797,17,2019-06-18,2149.9,2619.9511111111115
2798,17,2019-06-19,2149.9,2620.062222222222
2799,17,2019-06-20,2149.9,2620.173333333333
2800,17,2019-06-21,2149.9,2620.1733333333336
2801,17,2019-06-22,2221.9,2566.951111111111
2802,17,2019-06-23,2221.9,2559.395555555556
2803,17,2019-06-24,2289.99,2710.0622222222223
2804,17,2019-06-25,2289.99,2707.8399999999997
2805,17,2019-06-26,2289.99,2707.506666666666
2806,17,2019-06-27,2289.99,2707.3955555555553
2807,17,2019-06-28,2289.99,2702.6177777777775
2808,17,2019-06-29,2289.99,2704.728888888889
2809,17,2019-07-01,2221.9,2629.395555555556
2810,17,2019-07-02,2221.9,2628.9511111111115
2811,17,2019-07-03,2289.99,2704.728888888889
2812,17,2019-07-04,2289.99,2704.84
2813,17,2019-07-05,2289.99,2691.3955555555553
2814,17,2019-07-06,2149.9,2619.617777777778
2815,17,2019-07-07,2149.9,2513.952222222222
2816,17,2019-07-09,2149.9,2515.2855555555557
2817,17,2019-07-10,2149.9,2514.2855555555557
2818,17,2019-07-11,2149.9,2522.73
2819,17,2019-07-13,2149.9,2645.73
2820,17,2019-07-14,2149.9,2562.3966666666665
2821,17,2019-07-15,2149.9,2560.3966666666665
2822,17,2019-07-16,2149.9,2431.952222222222
2823,17,2019-07-17,2149.9,2434.2855555555557
2824,17,2019-07-18,2149.9,2432.2855555555557
2825,17,2019-07-21,2149.9,2555.0633333333335
2826,17,2019-07-22,2149.9,2431.73
2827,17,2019-07-23,2149.9,2407.952222222222
2828,17,2019-07-24,2149.9,2396.3966666666665
2829,17,2019-07-25,2149.9,2481.73
2830,17,2019-07-26,2087.93,2459.1777777777775
2831,17,2019-07-27,2087.93,2378.8433333333337
2832,17,2019-07-28,2087.93,2377.9555555555557
2833,17,2019-07-30,2149.9,2468.3966666666665
2834,17,2019-07-31,2149.9,2467.2855555555557
2835,17,2019-08-01,2149.9,2454.0633333333335
2836,17,2019-08-02,2145.8,2431.73
2837,17,2019-08-03,2146.8,2407.1744444444444
2838,17,2019-08-06,2146.8,2429.2855555555557
2839,17,2019-08-07,2145.8,2428.952222222222
2840,17,2019-08-10,2143.8,2361.6188888888887
2841,17,2019-08-13,1999.9,2451.6188888888887
